1,2,3,4,5,6,7
29847.0,11834.0,13.0,0.0,3.0,14.0,793.0
10312.0,45624.0,542.0,1.0,32.0,326.0,38.0
0.0,686.0,5668.0,111.0,16.0,636.0,0.0
0.0,1.0,231.0,244.0,0.0,74.0,0.0
12.0,1725.0,41.0,0.0,61.0,17.0,0.0
0.0,800.0,1641.0,15.0,9.0,975.0,0.0
1674.0,31.0,0.0,0.0,0.0,0.0,2372.0
