Measure,Value,Value (Standardized),Value (PCA)
Training f1,0.7168739243175781,0.7168714266506598,0.6895706296822257
Test f1,0.7198390354581716,0.7198390354581716,0.6919536282752519
Run time,2.1671441078186033,2.201488955815633,0.44978234767913816
